subject,relation,object,condition,evidence_type,confidence,arxiv_id,title,citations,subject_original,relation_original
Large Language Model,outperforms,Few-Shot Prompting,"gsm8k, gpt-4",Experimental_Result,4,2310.01714,Large Language Models as Analogical Reasoners,159,Large Language Model,outperforms
Large Language Model,degrades,Arithmetic Accuracy,"usaco benchmark, zero-shot",Experimental_Result,4,2404.10952,Can Language Models Solve Olympiad Programming?,70,Large Language Model,degrades
Large Language Model,improves,Arithmetic Accuracy,"usaco benchmark, task-specific knowledge stores",Experimental_Result,5,2404.10952,Can Language Models Solve Olympiad Programming?,70,Large Language Model,improves
Chain-of-Thought,improves,scene understanding and prediction accuracy,"gpt-4 turbo, cot-drive framework",Experimental_Result,5,2503.07234,CoT-Drive: Efficient Motion Forecasting for Autonomous Driving With LLMs and Chain-of-Thought Prompting,44,Chain-of-Thought,improves
Large Language Model,enables,lightweight edge models to achieve scene interpretation abilities,"cot-drive, knowledge distillation strategy",Experimental_Result,4,2503.07234,CoT-Drive: Efficient Motion Forecasting for Autonomous Driving With LLMs and Chain-of-Thought Prompting,44,Large Language Model,enables
Large Language Model,outperforms,state-of-the-art models,five real-world driving datasets,Experimental_Result,5,2503.07234,CoT-Drive: Efficient Motion Forecasting for Autonomous Driving With LLMs and Chain-of-Thought Prompting,44,Large Language Model,outperforms
Chain-of-Thought,improves,Arithmetic Accuracy,"gsm8k, gpt-3.5-turbo-0301",Experimental_Result,5,2403.06932,ERA-CoT: Improving Chain-of-Thought through Entity Relationship Analysis,38,Chain-of-Thought,improves
Self-Consistency,improves,Step-by-Step Reasoning,"sp-questions, federated setting",Experimental_Result,4,2304.13911,Federated Prompting and Chain-of-Thought Reasoning for Improving LLMs Answering,33,Self-Consistency,improves
Chain-of-Thought,improves,Mathematical Reasoning,"dp-questions, federated setting",Experimental_Result,4,2304.13911,Federated Prompting and Chain-of-Thought Reasoning for Improving LLMs Answering,33,Chain-of-Thought,improves
Large Language Model,depends_on,Prompt Wording,"zero-shot prompts, gpt-3.5 turbo, gpt-4 turbo",Experimental_Result,4,2407.03624,Question-Analysis Prompting Improves LLM Performance in Reasoning Tasks,27,Large Language Model,depends_on
Large Language Model,degrades,Arithmetic Accuracy,"gsm8k, aqua, agieval sat math, gpt-3.5 turbo, gpt-4 turbo, large n for simple problems",Experimental_Result,4,2407.03624,Question-Analysis Prompting Improves LLM Performance in Reasoning Tasks,27,Large Language Model,degrades
Large Language Model,degrades,Step-by-Step Reasoning,"gsm8k, aqua, strategyqa, gpt-3.5 turbo, gpt-4 turbo, over-explanation",Experimental_Result,4,2407.03624,Question-Analysis Prompting Improves LLM Performance in Reasoning Tasks,27,Large Language Model,degrades
Chain-of-Thought,improves,Arithmetic Accuracy,"gsm8k, gpt-3.5",Experimental_Result,5,2501.1036,FaceXBench: Evaluating Multimodal LLMs on Face Understanding,20,Chain-of-Thought,improves
Large Language Model,outperforms,Few-Shot Prompting,"mathqa, gpt-4",Experimental_Result,4,2501.1036,FaceXBench: Evaluating Multimodal LLMs on Face Understanding,20,Large Language Model,outperforms
Step-by-Step Reasoning,improves,Mathematical Reasoning,"gsm8k, gpt-3.5",Experimental_Result,5,2501.1036,FaceXBench: Evaluating Multimodal LLMs on Face Understanding,20,Step-by-Step Reasoning,improves
Self-Consistency,improves,Arithmetic Accuracy,"gsm8k, gpt-3.5",Experimental_Result,4,2501.1036,FaceXBench: Evaluating Multimodal LLMs on Face Understanding,20,Self-Consistency,improves
Zero-Shot Prompting,degrades,Arithmetic Accuracy,"gsm8k, gpt-3.5",Experimental_Result,3,2501.1036,FaceXBench: Evaluating Multimodal LLMs on Face Understanding,20,Zero-Shot Prompting,degrades
Verification Method,improves,Step-by-Step Reasoning,"gsm8k, gpt-4",Experimental_Result,4,2501.1036,FaceXBench: Evaluating Multimodal LLMs on Face Understanding,20,Verification Method,improves
Problem Complexity,correlates_with,Arithmetic Accuracy,"gsm8k, gpt-3.5",Experimental_Result,3,2501.1036,FaceXBench: Evaluating Multimodal LLMs on Face Understanding,20,Problem Complexity,correlates_with
Chain-of-Thought,enables,Self-Consistency,"gsm8k, gpt-3.5",Experimental_Result,5,2501.1036,FaceXBench: Evaluating Multimodal LLMs on Face Understanding,20,Chain-of-Thought,enables
Large Language Model,depends_on,Few-Shot Prompting,"mathqa, gpt-4",Experimental_Result,4,2501.1036,FaceXBench: Evaluating Multimodal LLMs on Face Understanding,20,Large Language Model,depends_on
Mathematical Reasoning,improves,Arithmetic Accuracy,"gsm8k, gpt-3.5",Experimental_Result,5,2501.1036,FaceXBench: Evaluating Multimodal LLMs on Face Understanding,20,Mathematical Reasoning,improves
Few-Shot Prompting,outperforms,Zero-Shot Prompting,"gsm8k, gpt-3.5",Experimental_Result,4,2501.1036,FaceXBench: Evaluating Multimodal LLMs on Face Understanding,20,Few-Shot Prompting,outperforms
Chain-of-Thought,reduces,Problem Complexity,"gsm8k, gpt-3.5",Experimental_Result,3,2501.1036,FaceXBench: Evaluating Multimodal LLMs on Face Understanding,20,Chain-of-Thought,reduces
Self-Consistency,increases,Arithmetic Accuracy,"gsm8k, gpt-3.5",Experimental_Result,4,2501.1036,FaceXBench: Evaluating Multimodal LLMs on Face Understanding,20,Self-Consistency,increases
Verification Method,equals,Self-Consistency,"gsm8k, gpt-4",Experimental_Result,3,2501.1036,FaceXBench: Evaluating Multimodal LLMs on Face Understanding,20,Verification Method,equals
Step-by-Step Reasoning,contradicts,Zero-Shot Prompting,"gsm8k, gpt-3.5",Experimental_Result,2,2501.1036,FaceXBench: Evaluating Multimodal LLMs on Face Understanding,20,Step-by-Step Reasoning,contradicts
Large Language Model,improves,Mathematical Reasoning,"gsm8k, gpt-4",Experimental_Result,5,2501.1036,FaceXBench: Evaluating Multimodal LLMs on Face Understanding,20,Large Language Model,improves
Chain-of-Thought,correlates_with,Problem Complexity,"gsm8k, gpt-3.5",Experimental_Result,3,2501.1036,FaceXBench: Evaluating Multimodal LLMs on Face Understanding,20,Chain-of-Thought,correlates_with
Few-Shot Prompting,enables,Step-by-Step Reasoning,"gsm8k, gpt-3.5",Experimental_Result,4,2501.1036,FaceXBench: Evaluating Multimodal LLMs on Face Understanding,20,Few-Shot Prompting,enables
Zero-Shot Prompting,degrades,Mathematical Reasoning,"gsm8k, gpt-3.5",Experimental_Result,3,2501.1036,FaceXBench: Evaluating Multimodal LLMs on Face Understanding,20,Zero-Shot Prompting,degrades
Self-Consistency,outperforms,Verification Method,"gsm8k, gpt-4",Experimental_Result,4,2501.1036,FaceXBench: Evaluating Multimodal LLMs on Face Understanding,20,Self-Consistency,outperforms
Chain-of-Thought,degrades,Arithmetic Accuracy,"gpqa diamond, gpt-4o-mini, 100 samples",Experimental_Result,4,2506.07142,Prompting Science Report 2: The Decreasing Value of Chain of Thought in Prompting,17,Chain-of-Thought,degrades
Chain-of-Thought,improves,Arithmetic Accuracy,"gpqa diamond, sonnet 3.5, 100 samples",Experimental_Result,4,2506.07142,Prompting Science Report 2: The Decreasing Value of Chain of Thought in Prompting,17,Chain-of-Thought,improves
Few-Shot Prompting,equals,Arithmetic Accuracy,"gpqa diamond, gpt-4o-mini, 25 vs 100 trials",Experimental_Result,5,2506.07142,Prompting Science Report 2: The Decreasing Value of Chain of Thought in Prompting,17,Few-Shot Prompting,equals
Large Language Model,correlates_with,Arithmetic Accuracy,"gpqa diamond, multiple models",Experimental_Result,4,2506.07142,Prompting Science Report 2: The Decreasing Value of Chain of Thought in Prompting,17,Large Language Model,correlates_with
Self-Consistency,improves,Arithmetic Accuracy,"gpqa diamond, gpt-4o",Experimental_Result,5,2505.01482,Understanding LLM Scientific Reasoning through Promptings and Model's Explanation on the Answers,16,Self-Consistency,improves
Chain-of-Thought,correlates_with,Step-by-Step Reasoning,"gpqa diamond, gpt-4o",Experimental_Result,4,2505.01482,Understanding LLM Scientific Reasoning through Promptings and Model's Explanation on the Answers,16,Chain-of-Thought,correlates_with
Zero-Shot Prompting,correlates_with,Step-by-Step Reasoning,"gpqa diamond, gpt-4o",Experimental_Result,4,2505.01482,Understanding LLM Scientific Reasoning through Promptings and Model's Explanation on the Answers,16,Zero-Shot Prompting,correlates_with
Self-Consistency,outperforms,Direct Answer,"gpqa diamond, gpt-4o",Experimental_Result,5,2505.01482,Understanding LLM Scientific Reasoning through Promptings and Model's Explanation on the Answers,16,Self-Consistency,outperforms
Self-Consistency,outperforms,Chain-of-Thought,"gpqa diamond, gpt-4o",Experimental_Result,5,2505.01482,Understanding LLM Scientific Reasoning through Promptings and Model's Explanation on the Answers,16,Self-Consistency,outperforms
Self-Consistency,outperforms,Zero-Shot Prompting,"gpqa diamond, gpt-4o",Experimental_Result,5,2505.01482,Understanding LLM Scientific Reasoning through Promptings and Model's Explanation on the Answers,16,Self-Consistency,outperforms
Self-Consistency,outperforms,Decomposition,"gpqa diamond, gpt-4o",Experimental_Result,5,2505.01482,Understanding LLM Scientific Reasoning through Promptings and Model's Explanation on the Answers,16,Self-Consistency,outperforms
Self-Consistency,outperforms,Self-Ask,"gpqa diamond, gpt-4o",Experimental_Result,5,2505.01482,Understanding LLM Scientific Reasoning through Promptings and Model's Explanation on the Answers,16,Self-Consistency,outperforms
Self-Consistency,outperforms,MultiPath,"gpqa diamond, gpt-4o",Experimental_Result,5,2505.01482,Understanding LLM Scientific Reasoning through Promptings and Model's Explanation on the Answers,16,Self-Consistency,outperforms
Zero-Shot Prompting,outperforms,Chain-of-Thought,"gpqa diamond, gpt-4o",Experimental_Result,4,2505.01482,Understanding LLM Scientific Reasoning through Promptings and Model's Explanation on the Answers,16,Zero-Shot Prompting,outperforms
Zero-Shot Prompting,outperforms,Decomposition,"gpqa diamond, gpt-4o",Experimental_Result,4,2505.01482,Understanding LLM Scientific Reasoning through Promptings and Model's Explanation on the Answers,16,Zero-Shot Prompting,outperforms
Zero-Shot Prompting,outperforms,Self-Ask,"gpqa diamond, gpt-4o",Experimental_Result,4,2505.01482,Understanding LLM Scientific Reasoning through Promptings and Model's Explanation on the Answers,16,Zero-Shot Prompting,outperforms
Zero-Shot Prompting,outperforms,MultiPath,"gpqa diamond, gpt-4o",Experimental_Result,4,2505.01482,Understanding LLM Scientific Reasoning through Promptings and Model's Explanation on the Answers,16,Zero-Shot Prompting,outperforms
Chain-of-Thought,outperforms,Decomposition,"gpqa diamond, gpt-4o",Experimental_Result,4,2505.01482,Understanding LLM Scientific Reasoning through Promptings and Model's Explanation on the Answers,16,Chain-of-Thought,outperforms
Large Language Model,improves,Arithmetic Accuracy,"bioinformatics tasks, few-shot learning settings",Experimental_Result,4,2503.04013,Benchmarking Large Language Models on Multiple Tasks in Bioinformatics NLP with Prompting,12,Large Language Model,improves
Chain-of-Thought,improves,Zero-Shot Prompting,"biomedical qa, unspecified model",Experimental_Result,4,2506.12182,Instruction Tuning and CoT Prompting for Contextual Medical QA with LLMs,11,Chain-of-Thought,improves
Chain-of-Thought,degrades,Large Language Model,"large-scale models, cot fine-tuning",Experimental_Result,3,2506.12182,Instruction Tuning and CoT Prompting for Contextual Medical QA with LLMs,11,Chain-of-Thought,degrades
Chain-of-Thought,improves,semantic coherence,pythia-2.8b,Experimental_Result,4,2507.22928,How does Chain of Thought Think? Mechanistic Interpretability of Chain-of-Thought Reasoning with Sparse Autoencoding,9,Chain-of-Thought,improves
Chain-of-Thought,improves,interpretability,pythia-2.8b,Experimental_Result,4,2507.22928,How does Chain of Thought Think? Mechanistic Interpretability of Chain-of-Thought Reasoning with Sparse Autoencoding,9,Chain-of-Thought,improves
Chain-of-Thought,improves,semantic consistency,pythia-2.8b,Experimental_Result,4,2507.22928,How does Chain of Thought Think? Mechanistic Interpretability of Chain-of-Thought Reasoning with Sparse Autoencoding,9,Chain-of-Thought,improves
Chain-of-Thought,improves,causal relevance,pythia-2.8b,Experimental_Result,4,2507.22928,How does Chain of Thought Think? Mechanistic Interpretability of Chain-of-Thought Reasoning with Sparse Autoencoding,9,Chain-of-Thought,improves
Chain-of-Thought,reduces,feature activation sparsity,pythia-2.8b,Experimental_Result,4,2507.22928,How does Chain of Thought Think? Mechanistic Interpretability of Chain-of-Thought Reasoning with Sparse Autoencoding,9,Chain-of-Thought,reduces
Chain-of-Thought,degrades,performance,pythia-70m,Experimental_Result,3,2507.22928,How does Chain of Thought Think? Mechanistic Interpretability of Chain-of-Thought Reasoning with Sparse Autoencoding,9,Chain-of-Thought,degrades
Chain-of-Thought,improves,Arithmetic Accuracy,"halueval, gpt-3.5-turbo",Experimental_Result,4,2505.09031,"Improving the Reliability of LLMs: Combining CoT, RAG, Self-Consistency, and Self-Verification",8,Chain-of-Thought,improves
Verification Method,outperforms,Chain-of-Thought,"fever, self-verification",Experimental_Result,5,2505.09031,"Improving the Reliability of LLMs: Combining CoT, RAG, Self-Consistency, and Self-Verification",8,Verification Method,outperforms
Verification Method,improves,Arithmetic Accuracy,"truthfulqa, self-verification",Experimental_Result,5,2505.09031,"Improving the Reliability of LLMs: Combining CoT, RAG, Self-Consistency, and Self-Verification",8,Verification Method,improves
Self-Consistency,improves,Arithmetic Accuracy,"halueval, fever, truthfulqa, all models",Experimental_Result,4,2505.09031,"Improving the Reliability of LLMs: Combining CoT, RAG, Self-Consistency, and Self-Verification",8,Self-Consistency,improves
Chain-of-Thought,outperforms,Few-Shot Prompting,"halueval, fever, truthfulqa, all models",Experimental_Result,4,2505.09031,"Improving the Reliability of LLMs: Combining CoT, RAG, Self-Consistency, and Self-Verification",8,Chain-of-Thought,outperforms
Chain-of-Thought,enables,Retrieval-Augmented Generation,"halueval, rag + cot",Experimental_Result,4,2505.09031,"Improving the Reliability of LLMs: Combining CoT, RAG, Self-Consistency, and Self-Verification",8,Chain-of-Thought,enables
Verification Method,outperforms,Retrieval-Augmented Generation,"fever, truthfulqa",Experimental_Result,4,2505.09031,"Improving the Reliability of LLMs: Combining CoT, RAG, Self-Consistency, and Self-Verification",8,Verification Method,outperforms
Large Language Model,outperforms,Large Language Model,"fever, truthfulqa, llama-2 vs gpt-3.5-turbo",Experimental_Result,4,2505.09031,"Improving the Reliability of LLMs: Combining CoT, RAG, Self-Consistency, and Self-Verification",8,Large Language Model,outperforms
Large Language Model,degrades,Arithmetic Accuracy,"rcc-8, ia, zero-shot, all models",Experimental_Result,5,2503.23487,Large Language and Reasoning Models are Shallow Disjunctive Reasoners,6,Large Language Model,degrades
Large Language Model,outperforms,Zero-Shot Prompting,"rcc-8, ia, few-shot, qwen2.5-72b",Experimental_Result,4,2503.23487,Large Language and Reasoning Models are Shallow Disjunctive Reasoners,6,Large Language Model,outperforms
Large Language Model,improves,Arithmetic Accuracy,"rcc-8, ia, fine-tuned, qwen models, gemma-2-27b",Experimental_Result,4,2503.23487,Large Language and Reasoning Models are Shallow Disjunctive Reasoners,6,Large Language Model,improves
Large Language Model,outperforms,Few-Shot Prompting,"rcc-8, ia, zero-shot, qwen2.5-72b",Experimental_Result,4,2503.23487,Large Language and Reasoning Models are Shallow Disjunctive Reasoners,6,Large Language Model,outperforms
Large Language Model,outperforms,Large Language Model,"rcc-8, ia, zero-shot, qwen2.5-72b vs others",Experimental_Result,4,2503.23487,Large Language and Reasoning Models are Shallow Disjunctive Reasoners,6,Large Language Model,outperforms
Large Language Model,reduces,Arithmetic Accuracy,"rcc-8, ia, zero-shot, b2 or k4",Experimental_Result,5,2503.23487,Large Language and Reasoning Models are Shallow Disjunctive Reasoners,6,Large Language Model,reduces
Large Language Model,correlates_with,Problem Complexity,"rcc-8, ia, zero-shot, b and k values",Experimental_Result,4,2503.23487,Large Language and Reasoning Models are Shallow Disjunctive Reasoners,6,Large Language Model,correlates_with
Chain-of-Thought,improves,Arithmetic Accuracy,"rcc-8, ia, zero-shot, o3-mini, b=1, k=9",Experimental_Result,5,2503.23487,Large Language and Reasoning Models are Shallow Disjunctive Reasoners,6,Chain-of-Thought,improves
Chain-of-Thought,degrades,Arithmetic Accuracy,"rcc-8, ia, zero-shot, o3-mini, b=2",Experimental_Result,5,2503.23487,Large Language and Reasoning Models are Shallow Disjunctive Reasoners,6,Chain-of-Thought,degrades
Large Language Model,outperforms,Chain-of-Thought,"rcc-8, ia, zero-shot, o3-mini vs fine-tuned models on b=2",Experimental_Result,4,2503.23487,Large Language and Reasoning Models are Shallow Disjunctive Reasoners,6,Large Language Model,outperforms
Large Language Model,equals,Arithmetic Accuracy,"rcc-8, ia, zero-shot, distilled deepseek-r1 models, k=9, b=1, above random chance",Experimental_Result,4,2503.23487,Large Language and Reasoning Models are Shallow Disjunctive Reasoners,6,Large Language Model,equals
Chain-of-Thought,reduces,Arithmetic Accuracy,"rcc-8, ia, zero-shot, o3-mini, no perfect results on any relation",Experimental_Result,4,2503.23487,Large Language and Reasoning Models are Shallow Disjunctive Reasoners,6,Chain-of-Thought,reduces
Chain-of-Thought,degrades,Arithmetic Accuracy,"cvbench, llama-4-scout-17b-16e-instruct, scenegraph cot + pot",Experimental_Result,5,2507.13362,Enhancing Spatial Reasoning in Vision-Language Models via Chain-of-Thought Prompting and Reinforcement Learning,5,Chain-of-Thought,degrades
Large Language Model,improves,Arithmetic Accuracy,"cvbench, spaceqwenvl-2.5-3b",Experimental_Result,5,2507.13362,Enhancing Spatial Reasoning in Vision-Language Models via Chain-of-Thought Prompting and Reinforcement Learning,5,Large Language Model,improves
Large Language Model,degrades,Arithmetic Accuracy,"cvbench, pali-gemma2-3b-mix-224 + scenegraph cot",Experimental_Result,5,2507.13362,Enhancing Spatial Reasoning in Vision-Language Models via Chain-of-Thought Prompting and Reinforcement Learning,5,Large Language Model,degrades
Large Language Model,improves,Step-by-Step Reasoning,"competitive programming benchmark, self-feedback single agent with retrieval framework",Experimental_Result,4,2509.00629,Can Multi-turn Self-refined Single Agent LMs with Retrieval Solve Hard Coding Problems?,4,Large Language Model,improves
Large Language Model,enables,Verification Method,"human-in-the-loop study, targeted guidance",Experimental_Result,5,2509.00629,Can Multi-turn Self-refined Single Agent LMs with Retrieval Solve Hard Coding Problems?,4,Large Language Model,enables
Chain-of-Thought,improves,Arithmetic Accuracy,"stack overflow, gemini-1.5-pro, gpt-4o, llama-3.2",Experimental_Result,4,2504.18912,Inferring Questions from Programming Screenshots,4,Chain-of-Thought,improves
Chain-of-Thought,outperforms,Few-Shot Prompting,"stack overflow, gpt-4o, gemini-1.5-pro",Experimental_Result,5,2504.18912,Inferring Questions from Programming Screenshots,4,Chain-of-Thought,outperforms
Few-Shot Prompting,degrades,Arithmetic Accuracy,"stack overflow, llama-3.2",Experimental_Result,5,2504.18912,Inferring Questions from Programming Screenshots,4,Few-Shot Prompting,degrades
Large Language Model,correlates_with,Problem Complexity,"stack overflow, gpt-4o, gemini-1.5-pro, llama-3.2",Experimental_Result,3,2504.18912,Inferring Questions from Programming Screenshots,4,Large Language Model,correlates_with
Large Language Model,outperforms,Few-Shot Prompting,"stack overflow, gpt-4o, gemini-1.5-pro",Experimental_Result,4,2504.18912,Inferring Questions from Programming Screenshots,4,Large Language Model,outperforms
Large Language Model,improves,Arithmetic Accuracy,"stack overflow, gpt-4o, gemini-1.5-pro",Experimental_Result,4,2504.18912,Inferring Questions from Programming Screenshots,4,Large Language Model,improves
Large Language Model,degrades,Arithmetic Accuracy,"stack overflow, llama-3.2",Experimental_Result,5,2504.18912,Inferring Questions from Programming Screenshots,4,Large Language Model,degrades
Self-Consistency,correlates_with,Problem Complexity,"stack overflow, gpt-4o",Experimental_Result,3,2504.18912,Inferring Questions from Programming Screenshots,4,Self-Consistency,correlates_with
Verification Method,improves,Arithmetic Accuracy,"stack overflow, gpt-4o, gemini-1.5-pro",Experimental_Result,4,2504.18912,Inferring Questions from Programming Screenshots,4,Verification Method,improves
Chain-of-Thought,enables,Step-by-Step Reasoning,"stack overflow, gpt-4o, gemini-1.5-pro",Experimental_Result,4,2504.18912,Inferring Questions from Programming Screenshots,4,Chain-of-Thought,enables
