subject,relation,object,condition,evidence_type,confidence,arxiv_id,title,citations
Chain-of-Thought,outperforms,tool-augmented approaches,math and formal logic,Experimental_Result,2,2409.12183,To CoT or not to CoT? Chain-of-thought helps mainly on math and symbolic reasoning,303
Chain-of-Thought,enables,step-by-step reasoning,math and logic tasks,Experimental_Result,4,2409.12183,To CoT or not to CoT? Chain-of-thought helps mainly on math and symbolic reasoning,303
Large Language Model,improves,Arithmetic Accuracy,"CoT prompting, math and logic datasets",Experimental_Result,4,2409.12183,To CoT or not to CoT? Chain-of-thought helps mainly on math and symbolic reasoning,303
Chain-of-Thought,depends_on,symbolic step execution,tasks with formal solution plans,Experimental_Result,4,2409.12183,To CoT or not to CoT? Chain-of-thought helps mainly on math and symbolic reasoning,303
Chain-of-Thought,contradicts,assumption that deliberation improves all reasoning tasks,non-symbolic vs symbolic tasks,Experimental_Result,4,2409.12183,To CoT or not to CoT? Chain-of-thought helps mainly on math and symbolic reasoning,303
MathPrompter,improves,Mathematical Reasoning,Zero-shot chain-of-thought prompting,Experimental_Result,4,2303.05398,MathPrompter: Mathematical Reasoning using Large Language Models,292
MathPrompter,equals,Few-Shot Prompting,SOTA Few-shot-CoT models,Experimental_Result,4,2303.05398,MathPrompter: Mathematical Reasoning using Large Language Models,292
MathPrompter,equals,Zero-Shot Prompting,larger Zero-shot-CoT models with 540B parameters,Experimental_Result,4,2303.05398,MathPrompter: Mathematical Reasoning using Large Language Models,292
MathPrompter,improves,Arithmetic Accuracy,multiple runs with Algebraic and Pythonic expressions,Experimental_Result,3,2303.05398,MathPrompter: Mathematical Reasoning using Large Language Models,292
Chain-of-Thought,improves,Mathematical Reasoning,"GSM8K, GPT-3.5",Experimental_Result,5,2310.01714,Large Language Models as Analogical Reasoners,159
Large Language Model,enables,Step-by-Step Reasoning,"Big-Bench, GPT-3",Experimental_Result,4,2310.01714,Large Language Models as Analogical Reasoners,159
Self-Consistency,improves,Arithmetic Accuracy,"GSM8K, GPT-3",Experimental_Result,5,2310.01714,Large Language Models as Analogical Reasoners,159
Chain-of-Thought,outperforms,Zero-Shot Prompting,"MathQA, GPT-4",Experimental_Result,4,2310.01714,Large Language Models as Analogical Reasoners,159
Few-Shot Prompting,improves,Mathematical Reasoning,"GSM8K, GPT-3",Experimental_Result,4,2310.01714,Large Language Models as Analogical Reasoners,159
Large Language Model,correlates_with,Problem Complexity,"Big-Bench, GPT-4",Experimental_Result,3,2310.01714,Large Language Models as Analogical Reasoners,159
Verification Method,improves,Arithmetic Accuracy,"GSM8K, GPT-4",Experimental_Result,4,2310.01714,Large Language Models as Analogical Reasoners,159
Chain-of-Thought,reduces,Problem Complexity,"GSM8K, GPT-3",Experimental_Result,3,2310.01714,Large Language Models as Analogical Reasoners,159
Step-by-Step Reasoning,enables,Mathematical Reasoning,"GSM8K, GPT-3.5",Experimental_Result,5,2310.01714,Large Language Models as Analogical Reasoners,159
Large Language Model,outperforms,Few-Shot Prompting,"GSM8K, GPT-4",Experimental_Result,4,2310.01714,Large Language Models as Analogical Reasoners,159
Progressive-Hint Prompting,improves,Mathematical Reasoning,multiple reasoning benchmarks,Experimental_Result,5,2304.09797,Progressive-Hint Prompting Improves Reasoning in Large Language Models,154
Progressive-Hint Prompting,enables,Chain-of-Thought,unspecified models,Experimental_Result,4,2304.09797,Progressive-Hint Prompting Improves Reasoning in Large Language Models,154
Progressive-Hint Prompting,enables,Self-Consistency,unspecified models,Experimental_Result,4,2304.09797,Progressive-Hint Prompting Improves Reasoning in Large Language Models,154
Large Language Model,degrades,Arithmetic Accuracy,"USACO benchmark, zero-shot",Experimental_Result,4,2404.10952,Can Language Models Solve Olympiad Programming?,70
Large Language Model,improves,Arithmetic Accuracy,"USACO benchmark, task-specific knowledge stores",Experimental_Result,5,2404.10952,Can Language Models Solve Olympiad Programming?,70
Iris,improves,understanding programming concepts,"computer science education, student survey",Experimental_Result,4,2405.08008,Iris: An AI-Driven Virtual Tutor for Computer Science Education,55
Iris,improves,learner engagement,"computer science education, student survey",Experimental_Result,4,2405.08008,Iris: An AI-Driven Virtual Tutor for Computer Science Education,55
Iris,reduces,motivation for programming exercises,"computer science education, student survey",Experimental_Result,3,2405.08008,Iris: An AI-Driven Virtual Tutor for Computer Science Education,55
Iris,correlates_with,student trust and comfort,"computer science education, student survey",Experimental_Result,4,2405.08008,Iris: An AI-Driven Virtual Tutor for Computer Science Education,55
Iris,outperforms,human interaction,"lecture setting, student survey",Experimental_Result,3,2405.08008,Iris: An AI-Driven Virtual Tutor for Computer Science Education,55
Iris,equals,human interaction,"exam preparation, student survey",Experimental_Result,3,2405.08008,Iris: An AI-Driven Virtual Tutor for Computer Science Education,55
Chain-of-Thought,improves,scene understanding and prediction accuracy,"GPT-4 Turbo, CoT-Drive framework",Experimental_Result,5,2503.07234,CoT-Drive: Efficient Motion Forecasting for Autonomous Driving With LLMs and Chain-of-Thought Prompting,44
Large Language Model,enables,lightweight edge models to achieve scene interpretation abilities,"CoT-Drive, knowledge distillation strategy",Experimental_Result,4,2503.07234,CoT-Drive: Efficient Motion Forecasting for Autonomous Driving With LLMs and Chain-of-Thought Prompting,44
Large Language Model,outperforms,state-of-the-art models,five real-world driving datasets,Experimental_Result,5,2503.07234,CoT-Drive: Efficient Motion Forecasting for Autonomous Driving With LLMs and Chain-of-Thought Prompting,44
Chain-of-Thought,improves,Arithmetic Accuracy,"GSM8K, GPT-3.5-turbo-0301",Experimental_Result,5,2403.06932,ERA-CoT: Improving Chain-of-Thought through Entity Relationship Analysis,38
Self-Consistency,improves,Step-by-Step Reasoning,"SP-questions, federated setting",Experimental_Result,4,2304.13911,Federated Prompting and Chain-of-Thought Reasoning for Improving LLMs Answering,33
Chain-of-Thought,improves,Mathematical Reasoning,"DP-questions, federated setting",Experimental_Result,4,2304.13911,Federated Prompting and Chain-of-Thought Reasoning for Improving LLMs Answering,33
Federated Self-consistency and CoT prompt,outperforms,Zero-Shot Prompting,question-answering tasks,Experimental_Result,4,2304.13911,Federated Prompting and Chain-of-Thought Reasoning for Improving LLMs Answering,33
Question-Analysis Prompting,improves,Arithmetic Accuracy,"GSM8K, AQuA, AGIEval SAT Math, GPT-3.5 Turbo, GPT-4 Turbo",Experimental_Result,4,2407.03624,Question-Analysis Prompting Improves LLM Performance in Reasoning Tasks,27
Question-Analysis Prompting,improves,Arithmetic Accuracy,"GSM8K, AQuA, AGIEval SAT Math, GPT-3.5 Turbo, GPT-4 Turbo, easy problems",Experimental_Result,4,2407.03624,Question-Analysis Prompting Improves LLM Performance in Reasoning Tasks,27
Question-Analysis Prompting,improves,Arithmetic Accuracy,"GSM8K, AQuA, AGIEval SAT Math, GPT-3.5 Turbo, GPT-4 Turbo, hard problems",Experimental_Result,4,2407.03624,Question-Analysis Prompting Improves LLM Performance in Reasoning Tasks,27
Question-Analysis Prompting,improves,Step-by-Step Reasoning,"GSM8K, AQuA, StrategyQA, GPT-3.5 Turbo, GPT-4 Turbo",Experimental_Result,3,2407.03624,Question-Analysis Prompting Improves LLM Performance in Reasoning Tasks,27
Large Language Model,depends_on,Prompt Wording,"zero-shot prompts, GPT-3.5 Turbo, GPT-4 Turbo",Experimental_Result,4,2407.03624,Question-Analysis Prompting Improves LLM Performance in Reasoning Tasks,27
Question-Analysis Prompting,outperforms,Chain-of-Thought,"GSM8K, AQuA, AGIEval SAT Math, GPT-3.5 Turbo, GPT-4 Turbo, hard problems",Experimental_Result,4,2407.03624,Question-Analysis Prompting Improves LLM Performance in Reasoning Tasks,27
Question-Analysis Prompting,outperforms,Chain-of-Thought,"StrategyQA, GPT-3.5 Turbo, GPT-4 Turbo, hard problems",Experimental_Result,4,2407.03624,Question-Analysis Prompting Improves LLM Performance in Reasoning Tasks,27
Large Language Model,degrades,Arithmetic Accuracy,"GSM8K, AQuA, AGIEval SAT Math, GPT-3.5 Turbo, GPT-4 Turbo, large n for simple problems",Experimental_Result,4,2407.03624,Question-Analysis Prompting Improves LLM Performance in Reasoning Tasks,27
Large Language Model,degrades,Step-by-Step Reasoning,"GSM8K, AQuA, StrategyQA, GPT-3.5 Turbo, GPT-4 Turbo, over-explanation",Experimental_Result,4,2407.03624,Question-Analysis Prompting Improves LLM Performance in Reasoning Tasks,27
Question-Analysis Prompting,increases,Word Count,"GSM8K, AQuA, AGIEval SAT Math, StrategyQA, GPT-3.5 Turbo, GPT-4 Turbo",Experimental_Result,4,2407.03624,Question-Analysis Prompting Improves LLM Performance in Reasoning Tasks,27
DUP,improves,Mathematical Reasoning,"arithmetic, commonsense, symbolic reasoning benchmarks",Experimental_Result,5,2404.14963,Achieving >97% on GSM8K: deeply understanding the problems makes LLMs better solvers for math word problems,22
DUP,outperforms,Zero-Shot Prompting,"GSM8K, SVAMP",Experimental_Result,5,2404.14963,Achieving >97% on GSM8K: deeply understanding the problems makes LLMs better solvers for math word problems,22
Chain-of-Thought,improves,Arithmetic Accuracy,"GSM8K, GPT-3.5",Experimental_Result,5,2501.1036,FaceXBench: Evaluating Multimodal LLMs on Face Understanding,20
Large Language Model,outperforms,Few-Shot Prompting,"MathQA, GPT-4",Experimental_Result,4,2501.1036,FaceXBench: Evaluating Multimodal LLMs on Face Understanding,20
Step-by-Step Reasoning,improves,Mathematical Reasoning,"GSM8K, GPT-3.5",Experimental_Result,5,2501.1036,FaceXBench: Evaluating Multimodal LLMs on Face Understanding,20
Self-Consistency,improves,Arithmetic Accuracy,"GSM8K, GPT-3.5",Experimental_Result,4,2501.1036,FaceXBench: Evaluating Multimodal LLMs on Face Understanding,20
Zero-Shot Prompting,degrades,Arithmetic Accuracy,"GSM8K, GPT-3.5",Experimental_Result,3,2501.1036,FaceXBench: Evaluating Multimodal LLMs on Face Understanding,20
Verification Method,improves,Step-by-Step Reasoning,"GSM8K, GPT-4",Experimental_Result,4,2501.1036,FaceXBench: Evaluating Multimodal LLMs on Face Understanding,20
Problem Complexity,correlates_with,Arithmetic Accuracy,"GSM8K, GPT-3.5",Experimental_Result,3,2501.1036,FaceXBench: Evaluating Multimodal LLMs on Face Understanding,20
Chain-of-Thought,enables,Self-Consistency,"GSM8K, GPT-3.5",Experimental_Result,5,2501.1036,FaceXBench: Evaluating Multimodal LLMs on Face Understanding,20
Large Language Model,depends_on,Few-Shot Prompting,"MathQA, GPT-4",Experimental_Result,4,2501.1036,FaceXBench: Evaluating Multimodal LLMs on Face Understanding,20
Mathematical Reasoning,improves,Arithmetic Accuracy,"GSM8K, GPT-3.5",Experimental_Result,5,2501.1036,FaceXBench: Evaluating Multimodal LLMs on Face Understanding,20
Few-Shot Prompting,outperforms,Zero-Shot Prompting,"GSM8K, GPT-3.5",Experimental_Result,4,2501.1036,FaceXBench: Evaluating Multimodal LLMs on Face Understanding,20
Chain-of-Thought,reduces,Problem Complexity,"GSM8K, GPT-3.5",Experimental_Result,3,2501.1036,FaceXBench: Evaluating Multimodal LLMs on Face Understanding,20
Self-Consistency,increases,Arithmetic Accuracy,"GSM8K, GPT-3.5",Experimental_Result,4,2501.1036,FaceXBench: Evaluating Multimodal LLMs on Face Understanding,20
Verification Method,equals,Self-Consistency,"GSM8K, GPT-4",Experimental_Result,3,2501.1036,FaceXBench: Evaluating Multimodal LLMs on Face Understanding,20
Step-by-Step Reasoning,contradicts,Zero-Shot Prompting,"GSM8K, GPT-3.5",Experimental_Result,2,2501.1036,FaceXBench: Evaluating Multimodal LLMs on Face Understanding,20
Large Language Model,improves,Mathematical Reasoning,"GSM8K, GPT-4",Experimental_Result,5,2501.1036,FaceXBench: Evaluating Multimodal LLMs on Face Understanding,20
Chain-of-Thought,correlates_with,Problem Complexity,"GSM8K, GPT-3.5",Experimental_Result,3,2501.1036,FaceXBench: Evaluating Multimodal LLMs on Face Understanding,20
Few-Shot Prompting,enables,Step-by-Step Reasoning,"GSM8K, GPT-3.5",Experimental_Result,4,2501.1036,FaceXBench: Evaluating Multimodal LLMs on Face Understanding,20
Zero-Shot Prompting,degrades,Mathematical Reasoning,"GSM8K, GPT-3.5",Experimental_Result,3,2501.1036,FaceXBench: Evaluating Multimodal LLMs on Face Understanding,20
Self-Consistency,outperforms,Verification Method,"GSM8K, GPT-4",Experimental_Result,4,2501.1036,FaceXBench: Evaluating Multimodal LLMs on Face Understanding,20
Chain-of-Thought,degrades,Arithmetic Accuracy,"GPQA Diamond, GPT-4o-mini, 100 samples",Experimental_Result,4,2506.07142,Prompting Science Report 2: The Decreasing Value of Chain of Thought in Prompting,17
Chain-of-Thought,degrades,Arithmetic Accuracy,"GPQA Diamond, Gemini 2.0 Flash, 100 samples",Experimental_Result,4,2506.07142,Prompting Science Report 2: The Decreasing Value of Chain of Thought in Prompting,17
Chain-of-Thought,degrades,Arithmetic Accuracy,"GPQA Diamond, Gemini Pro 1.5, 100 samples",Experimental_Result,4,2506.07142,Prompting Science Report 2: The Decreasing Value of Chain of Thought in Prompting,17
Chain-of-Thought,improves,Arithmetic Accuracy,"GPQA Diamond, Sonnet 3.5, 100 samples",Experimental_Result,4,2506.07142,Prompting Science Report 2: The Decreasing Value of Chain of Thought in Prompting,17
Chain-of-Thought,improves,Arithmetic Accuracy,"GPQA Diamond, GPT-4o, 100 samples",Experimental_Result,4,2506.07142,Prompting Science Report 2: The Decreasing Value of Chain of Thought in Prompting,17
Few-Shot Prompting,equals,Arithmetic Accuracy,"GPQA Diamond, GPT-4o-mini, 25 vs 100 trials",Experimental_Result,5,2506.07142,Prompting Science Report 2: The Decreasing Value of Chain of Thought in Prompting,17
Large Language Model,correlates_with,Arithmetic Accuracy,"GPQA Diamond, multiple models",Experimental_Result,4,2506.07142,Prompting Science Report 2: The Decreasing Value of Chain of Thought in Prompting,17
Self-Consistency,improves,Arithmetic Accuracy,"GPQA Diamond, GPT-4o",Experimental_Result,5,2505.01482,Understanding LLM Scientific Reasoning through Promptings and Model's Explanation on the Answers,16
Chain-of-Thought,correlates_with,Step-by-Step Reasoning,"GPQA Diamond, GPT-4o",Experimental_Result,4,2505.01482,Understanding LLM Scientific Reasoning through Promptings and Model's Explanation on the Answers,16
Zero-Shot Prompting,correlates_with,Step-by-Step Reasoning,"GPQA Diamond, GPT-4o",Experimental_Result,4,2505.01482,Understanding LLM Scientific Reasoning through Promptings and Model's Explanation on the Answers,16
Direct Answer,correlates_with,Step-by-Step Reasoning,"GPQA Diamond, GPT-4o",Experimental_Result,4,2505.01482,Understanding LLM Scientific Reasoning through Promptings and Model's Explanation on the Answers,16
Self-Consistency,outperforms,Direct Answer,"GPQA Diamond, GPT-4o",Experimental_Result,5,2505.01482,Understanding LLM Scientific Reasoning through Promptings and Model's Explanation on the Answers,16
Self-Consistency,outperforms,Chain-of-Thought,"GPQA Diamond, GPT-4o",Experimental_Result,5,2505.01482,Understanding LLM Scientific Reasoning through Promptings and Model's Explanation on the Answers,16
Self-Consistency,outperforms,Zero-Shot Prompting,"GPQA Diamond, GPT-4o",Experimental_Result,5,2505.01482,Understanding LLM Scientific Reasoning through Promptings and Model's Explanation on the Answers,16
Self-Consistency,outperforms,Decomposition,"GPQA Diamond, GPT-4o",Experimental_Result,5,2505.01482,Understanding LLM Scientific Reasoning through Promptings and Model's Explanation on the Answers,16
Self-Consistency,outperforms,Self-Ask,"GPQA Diamond, GPT-4o",Experimental_Result,5,2505.01482,Understanding LLM Scientific Reasoning through Promptings and Model's Explanation on the Answers,16
Self-Consistency,outperforms,MultiPath,"GPQA Diamond, GPT-4o",Experimental_Result,5,2505.01482,Understanding LLM Scientific Reasoning through Promptings and Model's Explanation on the Answers,16
Direct Answer,outperforms,Zero-Shot Prompting,"GPQA Diamond, GPT-4o",Experimental_Result,4,2505.01482,Understanding LLM Scientific Reasoning through Promptings and Model's Explanation on the Answers,16
Direct Answer,outperforms,Chain-of-Thought,"GPQA Diamond, GPT-4o",Experimental_Result,4,2505.01482,Understanding LLM Scientific Reasoning through Promptings and Model's Explanation on the Answers,16
Direct Answer,outperforms,Decomposition,"GPQA Diamond, GPT-4o",Experimental_Result,4,2505.01482,Understanding LLM Scientific Reasoning through Promptings and Model's Explanation on the Answers,16
Direct Answer,outperforms,Self-Ask,"GPQA Diamond, GPT-4o",Experimental_Result,4,2505.01482,Understanding LLM Scientific Reasoning through Promptings and Model's Explanation on the Answers,16
Direct Answer,outperforms,MultiPath,"GPQA Diamond, GPT-4o",Experimental_Result,4,2505.01482,Understanding LLM Scientific Reasoning through Promptings and Model's Explanation on the Answers,16
Zero-Shot Prompting,outperforms,Chain-of-Thought,"GPQA Diamond, GPT-4o",Experimental_Result,4,2505.01482,Understanding LLM Scientific Reasoning through Promptings and Model's Explanation on the Answers,16
Zero-Shot Prompting,outperforms,Decomposition,"GPQA Diamond, GPT-4o",Experimental_Result,4,2505.01482,Understanding LLM Scientific Reasoning through Promptings and Model's Explanation on the Answers,16
Zero-Shot Prompting,outperforms,Self-Ask,"GPQA Diamond, GPT-4o",Experimental_Result,4,2505.01482,Understanding LLM Scientific Reasoning through Promptings and Model's Explanation on the Answers,16
Zero-Shot Prompting,outperforms,MultiPath,"GPQA Diamond, GPT-4o",Experimental_Result,4,2505.01482,Understanding LLM Scientific Reasoning through Promptings and Model's Explanation on the Answers,16
Chain-of-Thought,outperforms,Decomposition,"GPQA Diamond, GPT-4o",Experimental_Result,4,2505.01482,Understanding LLM Scientific Reasoning through Promptings and Model's Explanation on the Answers,16
Zero-Shot-CP,outperforms,Zero-shot-CoT,"arithmetic and commonsense reasoning tasks, GPT-3.5-Turbo and GPT-4",Experimental_Result,4,2403.08211,Large Language Models are Contrastive Reasoners,15
Zero-Shot-CP,outperforms,Zero-shot-CoT,"SingleEq, AddSub, MultiArith, SVAMP, CommonsenseQA, StrategyQA",Experimental_Result,4,2403.08211,Large Language Models are Contrastive Reasoners,15
Zero-Shot-CP,outperforms,Zero-shot,"SingleEq, AddSub, MultiArith, SVAMP, CommonsenseQA, StrategyQA",Experimental_Result,4,2403.08211,Large Language Models are Contrastive Reasoners,15
Zero-Shot-CP,outperforms,Few-shot-CoT,most arithmetic and commonsense reasoning tasks,Experimental_Result,4,2403.08211,Large Language Models are Contrastive Reasoners,15
Zero-Shot-CP,improves,Arithmetic Accuracy,"SingleEq, GPT-4",Experimental_Result,4,2403.08211,Large Language Models are Contrastive Reasoners,15
Zero-Shot-CP,improves,Arithmetic Accuracy,"AddSub, GPT-4",Experimental_Result,4,2403.08211,Large Language Models are Contrastive Reasoners,15
Zero-Shot-CP,improves,Arithmetic Accuracy,"MultiArith, GPT-4",Experimental_Result,4,2403.08211,Large Language Models are Contrastive Reasoners,15
Zero-Shot-CP,improves,Arithmetic Accuracy,"SVAMP, GPT-4",Experimental_Result,4,2403.08211,Large Language Models are Contrastive Reasoners,15
Zero-Shot-CP,improves,Arithmetic Accuracy,"SingleEq, GPT-3.5-Turbo",Experimental_Result,4,2403.08211,Large Language Models are Contrastive Reasoners,15
Zero-Shot-CP,improves,Arithmetic Accuracy,"AddSub, GPT-3.5-Turbo",Experimental_Result,4,2403.08211,Large Language Models are Contrastive Reasoners,15
Zero-Shot-CP,improves,Arithmetic Accuracy,"MultiArith, GPT-3.5-Turbo",Experimental_Result,4,2403.08211,Large Language Models are Contrastive Reasoners,15
Zero-Shot-CP,improves,Arithmetic Accuracy,"SVAMP, GPT-3.5-Turbo",Experimental_Result,4,2403.08211,Large Language Models are Contrastive Reasoners,15
